city,lng,lat
Abu Dhabi,54.6511,24.4539
Addis Ababa,38.7468,9.0084
Amsterdam,4.7639,52.3086
Bahrain,50.6361,26.2708
Bangkok,100.7501,13.6900
Beirut,35.4884,33.8208
Cairo,31.4044,30.1119
Cape Town,18.6017,-33.9645
Chicago,-87.9073,41.9742
Colombo,79.8841,7.1808
Delhi,77.1031,28.5665
Doha,51.6080,25.2731
Dubai,55.3644,25.2532
Frankfurt,8.5706,50.0379
Hong Kong,113.9145,22.3080
Islamabad,72.8397,33.5615
Istanbul,28.7279,41.2753
Karachi,67.1608,24.9056
Kuala Lumpur,101.7099,2.7456
Kuwait City,47.9689,29.2266
London,-0.4543,51.4700
Mumbai,72.8678,19.0896
Muscat,58.2844,23.5933
Nairobi,36.9278,-1.3192
New York,-73.7781,40.6413
Paris,2.5479,49.0097
Riyadh,46.6989,24.9576
Seoul,126.4407,37.4602
Sharjah,55.5172,25.3286
Singapore,103.9915,1.3644
Sydney,151.1772,-33.9399
Tokyo,140.3855,35.7647
